session;ordre;eurio_id;numista_id;strate;condition;n_captures;fond;passe;pays;annee;titre;n_fps_banque;n_gold_review
3;28;pt-2016-2eur-portuguese-olympic-team-for-rio-2016;84061;canonique;tilt;3;tissu-gris;1;PT;2016;Portuguese Olympic Team For Rio 2016;0;0
3;29;pt-2016-2eur-portuguese-olympic-team-for-rio-2016;84061;canonique;glare;3;table-sombre;1;PT;2016;Portuguese Olympic Team For Rio 2016;0;0
3;30;pt-2016-2eur-portuguese-olympic-team-for-rio-2016;84061;canonique;bright;3;tissu-gris;1;PT;2016;Portuguese Olympic Team For Rio 2016;0;0
3;31;at-2016-2eur-200th-anniversary-of-the-national-bank;80926;moyenne;inhand;2;table-sombre;1;AT;2016;200Th Anniversary Of The National Bank;6;39
3;32;at-2016-2eur-200th-anniversary-of-the-national-bank;80926;moyenne;glare;2;tissu-gris;1;AT;2016;200Th Anniversary Of The National Bank;6;39
3;33;at-2016-2eur-200th-anniversary-of-the-national-bank;80926;moyenne;tilt;2;table-sombre;1;AT;2016;200Th Anniversary Of The National Bank;6;39
3;34;ad-2014-2eur-standard-1st-type;68395;riche;inhand;2;bois-clair;1;AD;2014;Standard 1St Type;10;22
3;35;ad-2014-2eur-standard-1st-type;68395;riche;dim;2;papier-blanc;1;AD;2014;Standard 1St Type;10;22
3;36;ad-2014-2eur-standard-1st-type;68395;riche;glare;2;bois-clair;1;AD;2014;Standard 1St Type;10;22
3;37;lt-2017-2eur-vilnius-capital-of-culture-and-art;116893;canonique;bright;3;bois-clair;1;LT;2017;Vilnius Capital Of Culture And Art;0;0
3;38;lt-2017-2eur-vilnius-capital-of-culture-and-art;116893;canonique;inhand;3;papier-blanc;1;LT;2017;Vilnius Capital Of Culture And Art;0;0
3;39;lt-2017-2eur-vilnius-capital-of-culture-and-art;116893;canonique;glare;3;bois-clair;1;LT;2017;Vilnius Capital Of Culture And Art;0;0
4;1;be-2016-2eur-child-focus;87173;moyenne;glare;2;tissu-gris;1;BE;2016;Child Focus;1;1
4;2;be-2016-2eur-child-focus;87173;moyenne;bright;2;table-sombre;1;BE;2016;Child Focus;1;1
4;3;be-2016-2eur-child-focus;87173;moyenne;tilt;2;tissu-gris;1;BE;2016;Child Focus;1;1
4;4;ie-2007-2eur-standard-2nd-map;6334;hors_banque;dim;3;tissu-gris;1;IE;2007;Standard 2Nd Map;0;0
4;5;ie-2007-2eur-standard-2nd-map;6334;hors_banque;glare;3;table-sombre;1;IE;2007;Standard 2Nd Map;0;0
4;6;ie-2007-2eur-standard-2nd-map;6334;hors_banque;tilt;3;tissu-gris;1;IE;2007;Standard 2Nd Map;0;0
4;7;it-2017-2eur-bimillenary-of-the-death-of-titus-livius;107085;canonique;dim;3;table-sombre;1;IT;2017;Bimillenary Of The Death Of Titus Livius;0;0
4;8;it-2017-2eur-bimillenary-of-the-death-of-titus-livius;107085;canonique;tilt;3;tissu-gris;1;IT;2017;Bimillenary Of The Death Of Titus Livius;0;0
4;9;it-2017-2eur-bimillenary-of-the-death-of-titus-livius;107085;canonique;bright;3;table-sombre;1;IT;2017;Bimillenary Of The Death Of Titus Livius;0;0
4;10;fr-2016-2eur-100th-anniversary-of-the-birth-of-francois-mitterrand;91431;riche;tilt;2;tissu-gris;1;FR;2016;100Th Anniversary Of The Birth Of Francois Mitterrand;10;33
4;11;fr-2016-2eur-100th-anniversary-of-the-birth-of-francois-mitterrand;91431;riche;inhand;2;table-sombre;1;FR;2016;100Th Anniversary Of The Birth Of Francois Mitterrand;10;33
4;12;fr-2016-2eur-100th-anniversary-of-the-birth-of-francois-mitterrand;91431;riche;glare;2;tissu-gris;1;FR;2016;100Th Anniversary Of The Birth Of Francois Mitterrand;10;33
4;13;nl-1999-2eur-standard-beatrix-1st-map;152;moyenne;bright;2;papier-blanc;1;NL;1999;Standard Beatrix 1St Map;1;1
4;14;nl-1999-2eur-standard-beatrix-1st-map;152;moyenne;tilt;2;bois-clair;1;NL;1999;Standard Beatrix 1St Map;1;1
4;15;nl-1999-2eur-standard-beatrix-1st-map;152;moyenne;inhand;2;papier-blanc;1;NL;1999;Standard Beatrix 1St Map;1;1
4;16;lu-2017-2eur-the-50th-anniversary-of-the-voluntariness-of-the-luxembourg-army;100577;canonique;inhand;3;table-sombre;1;LU;2017;The 50Th Anniversary Of The Voluntariness Of The Luxembourg Army;0;0
4;17;lu-2017-2eur-the-50th-anniversary-of-the-voluntariness-of-the-luxembourg-army;100577;canonique;tilt;3;tissu-gris;1;LU;2017;The 50Th Anniversary Of The Voluntariness Of The Luxembourg Army;0;0
4;18;lu-2017-2eur-the-50th-anniversary-of-the-voluntariness-of-the-luxembourg-army;100577;canonique;dim;3;table-sombre;1;LU;2017;The 50Th Anniversary Of The Voluntariness Of The Luxembourg Army;0;0
4;19;fi-2017-2eur-100-years-of-independence;113429;riche;inhand;2;papier-blanc;1;FI;2017;100 Years Of Independence;10;27
4;20;fi-2017-2eur-100-years-of-independence;113429;riche;bright;2;bois-clair;1;FI;2017;100 Years Of Independence;10;27
4;21;fi-2017-2eur-100-years-of-independence;113429;riche;tilt;2;papier-blanc;1;FI;2017;100 Years Of Independence;10;27
4;22;lu-2016-2eur-50-years-of-grand-duchess-charlotte-bridge;84907;canonique;dim;3;tissu-gris;1;LU;2016;50 Years Of Grand Duchess Charlotte Bridge;0;0
4;23;lu-2016-2eur-50-years-of-grand-duchess-charlotte-bridge;84907;canonique;tilt;3;table-sombre;1;LU;2016;50 Years Of Grand Duchess Charlotte Bridge;0;0
4;24;lu-2016-2eur-50-years-of-grand-duchess-charlotte-bridge;84907;canonique;inhand;3;tissu-gris;1;LU;2016;50 Years Of Grand Duchess Charlotte Bridge;0;0
4;25;fr-2019-2eur-30-years-of-the-fall-of-the-berlin-wall;160246;moyenne;bright;2;papier-blanc;1;FR;2019;30 Years Of The Fall Of The Berlin Wall;1;1
4;26;fr-2019-2eur-30-years-of-the-fall-of-the-berlin-wall;160246;moyenne;dim;2;bois-clair;1;FR;2019;30 Years Of The Fall Of The Berlin Wall;1;1
4;27;fr-2019-2eur-30-years-of-the-fall-of-the-berlin-wall;160246;moyenne;tilt;2;papier-blanc;1;FR;2019;30 Years Of The Fall Of The Berlin Wall;1;1
4;28;de-2020-2eur-brandenburg-the-bundeslander-series;193506;riche;glare;2;table-sombre;1;DE;2020;Brandenburg The Bundeslander Series;10;33
4;29;de-2020-2eur-brandenburg-the-bundeslander-series;193506;riche;dim;2;tissu-gris;1;DE;2020;Brandenburg The Bundeslander Series;10;33
4;30;de-2020-2eur-brandenburg-the-bundeslander-series;193506;riche;bright;2;table-sombre;1;DE;2020;Brandenburg The Bundeslander Series;10;33
4;31;fr-2017-2eur-25th-anniversary-of-the-pink-ribbon-symbol-of-the-fight-against-breast-cancer;122799;canonique;tilt;3;table-sombre;1;FR;2017;25Th Anniversary Of The Pink Ribbon Symbol Of The Fight Against Breast Cancer;0;1
4;32;fr-2017-2eur-25th-anniversary-of-the-pink-ribbon-symbol-of-the-fight-against-breast-cancer;122799;canonique;bright;3;tissu-gris;1;FR;2017;25Th Anniversary Of The Pink Ribbon Symbol Of The Fight Against Breast Cancer;0;1
