asset_id,crop_path,raw_path,eurio_id,country,year,face_value,is_commemorative,detection_method,fill_ratio,r_pipe,r_probe,r_ratio,bimetal_inner_ring,is_light_bg,is_bimetal_coin,bucket,crop_class,n_coins_in_img,coin_frac,listing_type,dino_sim,dino_class,axis_ratio,tilt_deg,tilt_trustworthy
12202670bd3d4232881e6fb3e9ad285a,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/12202670bd3d4232881e6fb3e9ad285a.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/3ecd0199b7ad49678fdf7c3259d03198.jpg,de-2010-2eur-state-of-bremen,DE,2010,2.0,1,yolo+hough+rimrefine,0.996,202,203.09226989746094,0.9946,0,1,1,bimetal_light,ok,7,0.1758,multi_small,0.7802,good,0.9904,7.95,0
8ead2a264e7e418cb28fe6c727cb51c8,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/8ead2a264e7e418cb28fe6c727cb51c8.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/d7d9b0183a5b416fb2603ba2752d1881.jpg,ad-2014-2eur-20th-anniversary-of-andorras-membership-in-the-council-of-europe,AD,2014,2.0,1,yolo+hough+rimrefine,0.9709,88,97.18270111083984,0.9055,1,1,1,bimetal_light,ok,1,0.2075,single_tight,0.8307,good,0.9125,24.14,1
259b02ffe1aa4f27a14fd1e5a6c0476b,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/259b02ffe1aa4f27a14fd1e5a6c0476b.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/ad5254e82b65409c989eea4364b556e9.jpg,de-2007-2eur-50th-anniversary-of-the-treaty-of-rome,DE,2007,2.0,1,yolo+hough+rimrefine,1.06,481,,,0,0,1,bimetal_textured,ok,1,0.4454,single_tight,0.6216,suspect,0.9188,23.25,1
27b4ea9cc84f4f09a0e6d81de04a8c2b,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/27b4ea9cc84f4f09a0e6d81de04a8c2b.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/7f8703c8cf4e49c79ae2ab2626c0607a.jpg,ad-2014-2eur-20th-anniversary-of-andorras-membership-in-the-council-of-europe,AD,2014,2.0,1,yolo+hough+rimrefine,0.9862,48,,,0,0,1,bimetal_textured,ok,2,0.0936,multi_small,0.6781,good,0.8904,27.08,1
dd8c99e3c6a047e6a6f41a63ffdcd4f0,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/dd8c99e3c6a047e6a6f41a63ffdcd4f0.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/089e601abe5f48b39617816909250c4a.jpg,de-2010-2eur-state-of-bremen,DE,2010,2.0,1,yolo+hough+rimrefine,0.9811,70,73.39576721191406,0.9537,0,1,1,bimetal_light,ok,5,0.1232,multi_small,0.7852,good,0.9903,7.97,0
a034769d5603400b91ec1f4c1db3856c,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/a034769d5603400b91ec1f4c1db3856c.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/3631f1ae0f7e4161a0d8398c52c3fec9.jpg,de-2020-2eur-german-polish-reconciliation,DE,2020,2.0,1,yolo+hough+rimrefine,0.9653,71,,,0,1,1,bimetal_light,ok,5,0.1116,multi_small,0.8551,good,0.9044,25.25,1
3481c02f20174bda89bb5450115eb39c,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/3481c02f20174bda89bb5450115eb39c.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/6c99e019c3994ed2890d0f979704a6a9.jpg,de-2007-2eur-state-of-mecklenburg-vorpommern,DE,2007,2.0,1,yolo+hough+rimrefine,0.9698,121,,,0,1,1,bimetal_light,ok,5,0.1008,multi_small,0.709,good,0.9433,19.39,1
2104f576386a495e9c18a706d7f19864,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/2104f576386a495e9c18a706d7f19864.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/0917f498922e43c8bc2644f8c087f2ad.jpg,ad-2014-2eur-20th-anniversary-of-andorras-membership-in-the-council-of-europe,AD,2014,2.0,1,yolo+hough+polish+rimrefine,0.965,210,216.86624145507812,0.9683,0,0,1,bimetal_textured,ok,3,0.175,multi_small,0.8569,good,0.9886,8.65,0
5e28ff58c665437d9e4e29aabb4deb75,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/5e28ff58c665437d9e4e29aabb4deb75.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/4ed5625674964183ab185f6e87fb4b17.jpg,fi-2016-2eur-100th-anniversary-of-the-birth-of-georg-henrik-von-wright,FI,2016,2.0,1,yolo+hough+rimrefine,0.9713,128,132.5876007080078,0.9654,0,0,1,bimetal_textured,ok,14,0.08,multi_small,0.6765,good,0.9795,11.63,0
53966991d10c43568e70a5066061d21f,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/53966991d10c43568e70a5066061d21f.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/4cfb03e5d8b14a698a0b96623dbdab5e.jpg,it-2016-2eur-2200th-anniversary-of-the-death-of-plautus,IT,2016,2.0,1,yolo+hough+rimrefine,0.9681,131,135.66954040527344,0.9656,1,1,1,bimetal_light,ok,7,0.096,multi_small,0.7401,good,0.9731,13.33,0
